Benchmark,Method,Iterations
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,3
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,3
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,2
Macro-RealWorld,Ours,1
Macro-RealWorld,Ours,1
Macro-RealWorld,MFP,1.55
Macro-RealWorld,MFP,1.55
Macro-RealWorld,MFP,1.43
Macro-RealWorld,MFP,1.47
Macro-RealWorld,MFP,1.91
Macro-RealWorld,MFP,1.56
Macro-RealWorld,MFP,1.55
Macro-RealWorld,MFP,1.40
Macro-RealWorld,MFP,1.55
Macro-RealWorld,MFP,1.40
Macro-RealWorld,MFP,1.40
Macro-RealWorld,MFP,1.55
Macro-RealWorld,MFP,1.40
Macro-RealWorld,MFP,1.55
Macro-RealWorld,MFP,1.40
Macro-RealWorld,MFP,1.50
Macro-RealWorld,MFP,1.96
Macro-RealWorld,MFP,1.54
Macro-RealWorld,MFP,1.47
Macro-RealWorld,MFP,1.54
Macro-RealWorld,MFP,1.71
Macro-RealWorld,MFP,1.54
Macro-RealWorld,MFP,1.56
Macro-RealWorld,MFP,1.59
Macro-RealWorld,MFP,1.50
Macro-RealWorld,MFP,1.59
Macro-RealWorld,MFP,1.50
Macro-RealWorld,MFP,1.06
Macro-RealWorld,MFP,1.68
Macro-RealWorld,MFP,1.68
Macro-RealWorld,MFP,1.69
Macro-RealWorld,MFP,1.69
Macro-RealWorld,MFP,1.22
Macro-RealWorld,MFP,1.25
Macro-RealWorld,MFP,1.22
Macro-RealWorld,MFP,1.25
Macro-RealWorld,MFP,1.98
Macro-RealWorld,MFP,1.94
Macro-RealWorld,MFP,3.62
Macro-RealWorld,MFP,1.48
Macro-RealWorld,MFP,1.21
Macro-RealWorld,MFP,1.65
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,4
Micro-Phase-I,Ours,3
Micro-Phase-I,Ours,3
Micro-Phase-I,Ours,4
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,4
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,3
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,2
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,Ours,1
Micro-Phase-I,MFP,1.48
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,2.00
Micro-Phase-I,MFP,1.71
Micro-Phase-I,MFP,1.62
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.83
Micro-Phase-I,MFP,1.71
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.53
Micro-Phase-I,MFP,1.62
Micro-Phase-I,MFP,1.33
Micro-Phase-I,MFP,1.62
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.89
Micro-Phase-I,MFP,1.78
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.78
Micro-Phase-I,MFP,2.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.80
Micro-Phase-I,MFP,1.96
Micro-Phase-I,MFP,1.89
Micro-Phase-I,MFP,1.89
Micro-Phase-I,MFP,1.47
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.89
Micro-Phase-I,MFP,1.94
Micro-Phase-I,MFP,1.92
Micro-Phase-I,MFP,1.44
Micro-Phase-I,MFP,2.54
Micro-Phase-I,MFP,1.62
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.92
Micro-Phase-I,MFP,1.92
Micro-Phase-I,MFP,1.85
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.44
Micro-Phase-I,MFP,1.31
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.40
Micro-Phase-I,MFP,1.80
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.65
Micro-Phase-I,MFP,1.44
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.47
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,2.25
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.92
Micro-Phase-I,MFP,1.81
Micro-Phase-I,MFP,1.94
Micro-Phase-I,MFP,1.44
Micro-Phase-I,MFP,2.23
Micro-Phase-I,MFP,1.94
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.76
Micro-Phase-I,MFP,1.92
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.80
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.93
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.67
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.85
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.33
Micro-Phase-I,MFP,1.80
Micro-Phase-I,MFP,1.78
Micro-Phase-I,MFP,1.00
Micro-Phase-I,MFP,1.89
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,3
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,3
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,4
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,3
Micro-Phase-II,Ours,3
Micro-Phase-II,Ours,4
Micro-Phase-II,Ours,3
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,5
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,2
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,Ours,1
Micro-Phase-II,MFP,1.27
Micro-Phase-II,MFP,1.62
Micro-Phase-II,MFP,2.21
Micro-Phase-II,MFP,1.55
Micro-Phase-II,MFP,1.89
Micro-Phase-II,MFP,2.60
Micro-Phase-II,MFP,1.44
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.38
Micro-Phase-II,MFP,1.78
Micro-Phase-II,MFP,2.78
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.89
Micro-Phase-II,MFP,1.93
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.75
Micro-Phase-II,MFP,1.44
Micro-Phase-II,MFP,2.61
Micro-Phase-II,MFP,2.41
Micro-Phase-II,MFP,1.92
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.80
Micro-Phase-II,MFP,1.47
Micro-Phase-II,MFP,1.88
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.89
Micro-Phase-II,MFP,1.80
Micro-Phase-II,MFP,1.88
Micro-Phase-II,MFP,1.81
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,2.33
Micro-Phase-II,MFP,1.80
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.67
Micro-Phase-II,MFP,1.92
Micro-Phase-II,MFP,2.43
Micro-Phase-II,MFP,1.67
Micro-Phase-II,MFP,1.60
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.35
Micro-Phase-II,MFP,1.76
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.27
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.92
Micro-Phase-II,MFP,2.79
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.89
Micro-Phase-II,MFP,1.94
Micro-Phase-II,MFP,2.70
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.20
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.74
Micro-Phase-II,MFP,1.80
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.62
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.48
Micro-Phase-II,MFP,1.27
Micro-Phase-II,MFP,1.62
Micro-Phase-II,MFP,1.64
Micro-Phase-II,MFP,2.21
Micro-Phase-II,MFP,1.78
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.62
Micro-Phase-II,MFP,1.80
Micro-Phase-II,MFP,1.47
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.45
Micro-Phase-II,MFP,1.89
Micro-Phase-II,MFP,2.29
Micro-Phase-II,MFP,1.62
Micro-Phase-II,MFP,1.37
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.89
Micro-Phase-II,MFP,1.92
Micro-Phase-II,MFP,1.60
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.44
Micro-Phase-II,MFP,2.13
Micro-Phase-II,MFP,2.21
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.65
Micro-Phase-II,MFP,2.88
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,2.00
Micro-Phase-II,MFP,1.94
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.80
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.75
Micro-Phase-II,MFP,1.27
Micro-Phase-II,MFP,1.88
Micro-Phase-II,MFP,1.91
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.80
Micro-Phase-II,MFP,1.38
Micro-Phase-II,MFP,2.82
Micro-Phase-II,MFP,1.23
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.00
Micro-Phase-II,MFP,1.92
Micro-Phase-II,MFP,1.00
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,4
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,4
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,1
Micro-Phase-III,Ours,4
Micro-Phase-III,Ours,2
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,4
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,5
Micro-Phase-III,Ours,3
Micro-Phase-III,Ours,4
